country_region,date,confirmed,deaths,recovered,active,admin2
Liberia,2020-05-30,280,27,148,105,
Liberia,2021-08-14,5459,148,,,
Liberia,2021-04-06,2042,85,1899,58,
Liberia,2020-04-30,141,16,45,80,
Liberia,2021-04-23,2097,85,1940,72,
Liberia,2021-09-24,5915,283,,,
Liberia,2021-01-24,1914,84,1714,116,
Liberia,2022-10-08,7974,294,,,
Liberia,2022-05-04,7434,294,,,
Liberia,2022-01-21,7208,288,,,
Liberia,2022-09-21,7961,294,,,
Liberia,2020-09-02,1305,82,1162,61,
Liberia,2020-08-02,1207,77,673,457,
Liberia,2021-06-26,3529,113,2274,1142,
Liberia,2020-11-19,1539,82,1331,126,
Liberia,2022-03-16,7397,294,,,
Liberia,2021-11-14,5818,287,,,
Liberia,2021-07-21,5396,148,2715,2533,
Liberia,2022-05-28,7455,294,,,
Liberia,2020-06-02,311,28,167,116,
Liberia,2020-03-19,2,0,0,,
Liberia,2022-01-28,7254,290,,,
Liberia,2022-08-11,7552,294,,,
Liberia,2021-10-21,5811,287,,,
Liberia,2022-03-01,7384,294,,,
Liberia,2022-07-01,7497,294,,,
Liberia,2022-06-23,7493,294,,,
Liberia,2022-02-06,7276,290,,,
Liberia,2021-07-04,4520,133,2411,1976,
Liberia,2022-07-17,7504,294,,,
Liberia,2021-02-20,1988,85,1856,47,
Liberia,2022-01-27,7243,289,,,
Liberia,2020-09-01,1305,82,1158,65,
Liberia,2021-07-19,5396,148,2715,2533,
Liberia,2021-07-20,5396,148,2715,2533,
Liberia,2022-03-25,7397,294,,,
Liberia,2021-12-23,5929,287,,,
Liberia,2020-12-15,1676,83,1358,235,
Liberia,2020-07-10,963,47,400,516,
Liberia,2021-11-15,5818,287,,,
Liberia,2020-07-01,804,37,335,432,
Liberia,2022-08-25,7732,294,,,
Liberia,2022-10-16,7985,294,,,
Liberia,2022-04-11,7402,294,,,
Liberia,2022-09-28,7961,294,,,
Liberia,2020-05-02,154,18,48,88,
